Id,PlayerName,MatchesPlayed,Inns,NO,Runs,HighestScore,StrikeRate,Hundred,Fifty,Fours,Sixes,Wickets
1,Jos Buttler,17,17,2,863,116,149.05,4,4,83,45,0
2,K L Rahul,15,15,3,616,103,135.38,2,4,45,30,0
3,Quinton De Kock,15,15,1,508,140,148.97,1,3,47,23,0
4,Hardik Pandya,15,15,4,487,87,131.26,0,4,49,12,8
5,Shubman Gill,16,16,2,483,96,132.32,0,4,51,11,0
6,David Miller,16,16,9,481,94,142.72,0,2,32,23,0
7,Faf Du Plessis,16,16,1,468,96,127.52,0,3,49,13,0
8,Shikhar Dhawan,14,14,2,460,88,122.66,0,3,47,12,0
9,Sanju Samson,17,17,1,458,55,146.79,0,2,43,26,0
10,Deepak Hooda,15,14,0,451,59,136.66,0,4,36,18,1
11,Liam Livingstone,14,14,2,437,70,182.08,0,4,29,34,6
12,David Warner,12,12,3,432,92,150.52,0,5,52,15,0
13,Abhishek Sharma,14,14,0,426,75,133.12,0,2,47,13,0
14,Ishan Kishan,14,14,1,418,81,120.11,0,3,45,11,0
15,Rahul Tripathi,14,14,3,413,76,158.23,0,3,40,20,0
16,Shreyas Iyer,14,14,1,401,85,134.56,0,3,41,11,0
17,Tilak Varma,14,14,3,397,61,131.02,0,2,29,16,0
18,Aiden Markram,14,12,4,381,68,139.05,0,3,25,19,1
19,Devdutt Padikkal,17,17,0,376,54,122.87,0,1,40,14,0
20,Ruturaj Gaikwad,14,14,0,368,99,126.46,0,3,33,14,0
21,Nitish Rana,14,14,1,361,57,143.82,0,2,29,22,0
22,Virat Kohli,16,16,1,341,73,115.98,0,2,32,8,0
23,Rishabh Pant,14,13,2,340,44,151.78,0,0,35,16,0
24,Andre Russell,14,12,3,335,70,174.47,0,1,18,32,17
25,Rajat Patidar,8,7,1,333,112,152.75,1,2,27,18,0
26,Dinesh Karthik,16,16,10,330,66,183.33,0,1,27,22,0
27,Wriddhiman Saha,11,11,1,317,68,122.39,0,3,40,7,0
28,Shimron Hetmyer,15,15,8,314,59,153.92,0,1,21,21,0
29,Nicholas Pooran,14,13,5,306,64,144.33,0,2,16,21,0
30,Suryakumar Yadav,8,8,1,303,68,145.67,0,3,23,16,0
31,Glenn Maxwell,13,13,2,301,55,169.1,0,1,31,15,6
32,Shivam Dube,11,11,1,289,95,156.21,0,2,22,16,0
33,Prithvi Shaw,10,10,0,283,61,152.97,0,2,37,10,0
34,Ambati Rayudu,13,11,0,274,78,122.32,0,1,25,15,0
35,Rohit Sharma,14,14,0,268,48,120.17,0,0,28,13,0
36,Yashasvi Jaiswal,10,10,0,258,68,132.98,0,2,28,10,0
37,Jonny Bairstow,11,11,0,253,66,144.57,0,2,34,9,0
38,Devon Conway,7,7,1,252,87,145.66,0,3,22,12,0
39,Mitchell Marsh,8,8,0,251,89,132.8,0,2,19,14,4
40,Rovman Powell,14,12,2,250,67,149.7,0,1,10,22,0
41,Moeen Ali,10,10,0,244,93,137.85,0,1,24,11,8
42,Jitesh Sharma,12,10,2,234,44,163.63,0,0,22,12,0
43,MS Dhoni,14,13,6,232,50,123.4,0,1,21,10,0
44,Robin Uthappa,12,11,0,230,88,134.5,0,2,19,14,0
45,Shahbaz Ahmed,16,11,3,219,45,120.99,0,0,14,9,4
46,Rahul Tewatia,16,12,5,217,43,147.61,0,0,22,9,0
47,Kane Williamson,13,13,2,216,57,93.5,0,1,16,8,0
48,Bhanuka Rajapaksa,9,9,0,206,43,159.68,0,0,16,13,0
49,Mayank Agarwal,13,12,0,196,52,122.5,0,1,23,6,0
50,Ravichandran Ashwin,17,12,5,191,50,141.48,0,1,14,9,12
51,Tim David,8,8,3,186,46,216.27,0,0,12,16,0
52,Riyan Parag,17,14,3,183,56,138.63,0,1,11,10,1
53,Krunal Pandya,14,13,4,183,42,126.2,0,0,16,4,10
54,Axar Patel,13,10,6,182,42,151.66,0,0,12,10,6
55,Venkatesh Iyer,12,12,1,182,50,107.69,0,1,17,7,0
56,Rinku Singh,7,7,2,174,42,148.71,0,0,17,7,0
57,Sam Billings,8,8,1,169,36,122.46,0,0,9,10,0
58,Dewald Brevis,7,7,0,161,49,142.47,0,0,14,11,1
59,Ayush Badoni,13,11,3,161,54,123.84,0,1,11,7,2
60,Lalit Yadav,12,8,1,161,48,110.27,0,0,11,7,4
61,Matthew Wade,10,10,0,157,35,113.76,0,0,23,2,0
62,Marcus Stoinis,11,10,2,156,38,147.16,0,0,7,13,4
63,Sai Sudharsan,5,5,1,145,65,127.19,0,1,14,3,0
64,Kieron Pollard,11,11,1,144,25,107.46,0,0,6,9,4
65,Ajinkya Rahane,7,7,0,133,44,103.9,0,0,14,4,0
66,Anuj Rawat,8,8,0,129,66,109.32,0,1,10,7,0
67,Shardul Thakur,14,10,2,120,29,137.93,0,0,7,7,15
68,Shahrukh Khan,8,8,1,117,26,108.33,0,0,4,9,0
69,Ravindra Jadeja,10,10,4,116,26,118.36,0,0,6,5,5
70,Abhinav Manohar,8,7,1,108,43,144,0,0,14,3,0
71,Washington Sundar,9,7,0,101,40,146.37,0,0,9,3,6
